Number,City,State Abbreviation,State,Total number of Tweets made over 6 years,Prevalence of Racism in % (x 10^-2),Average Number of All Hate Crimes*,Total RHC** Numbers across 6 years,Average RHC over pop. in % (x 10^-3),RHC normalized over all HC,Proportion of Racism that is Targeted,Targeted Racism in % (x 10^-2),Self-narration Racism in % (x 10^-2),White in %,Black in %,Asian in %,Hisp/Latino in %,Foreign born in %,non-English lang in %,Owner-occupied houses in %,Median house price in $,Bachelors in %,Median income in $,Below poverty in %,Avg. time to work in minutes,Population density (people per sq.mile),Female in %,Age-18 to 64 in %
71,West Palm Beach,FL,Florida,681142,0.926,2.333,4,0.605,0.286,0.197,0.182,0.744,59.4,32.9,2.8,22.8,26.8,31,48.8,198100,32.9,46672,19,22.6,1807.1,51.7,63.4
72,Charleston,WV,West Virginia,411557,2.517,7.6,23,7.998,0.504,0.193,0.486,2.031,80.3,11.3,2.3,1.6,3.5,4.1,56.5,150300,38.7,46720,20,15.9,1630.7,51.4,62.8
73,Nampa,ID,Idaho,221144,4.734,2.833,15,2.671,0.882,0.195,0.923,3.811,86.9,0.5,0.8,23.3,6.9,15.4,61.9,120900,18.7,41210,22.4,23.2,2614.7,50.7,57.1
74,Portland,ME,Maine,625852,5.271,6.2,10,2.492,0.269,0.096,0.509,4.763,84,8.3,3.5,3.3,13.3,14.7,43,248000,46.9,48259,19.2,19,3106.5,50.5,70.4
75,Salem,OR,Oregon,678090,1.156,7,26,2.552,0.619,0.147,0.169,0.986,81.4,1.3,2.8,21.7,11.4,21.2,52.8,188900,27,49126,17.2,21.4,3228.6,50.3,62.5
76,Prattville,AL,Alabama,230413,2.3,2,8,3.756,0.667,0.163,0.375,1.925,76.7,17.1,1.2,4,2.8,5.2,66.9,150800,31,56364,10.6,22.5,1033.6,51.8,60.5
77,Fort Smith,AR,Arkansas,369518,0.883,2.6,7,1.325,0.449,0.07,0.061,0.821,73.2,9.4,6,18.2,12.9,20.7,50.9,114900,19.9,35956,26.1,15.7,1391.2,51.1,61.6
78,Winnsboro,SC,South Carolina,44076,4.613,5.5,1,5.149,0.03,0.604,2.789,1.825,30.66,64.46,0,4.89,3.11,5.71,54.8,150200,18.6,29553,31.6,20.7,1002.17,55.26,61.5
79,Rapid City,SD,South Dakota,272121,5.933,2.667,9,2.016,0.562,0.551,3.266,2.666,79.7,1.3,1.4,5.2,2.2,4.1,61,166000,30.5,47300,16.4,15.4,1226.5,50,60.2
80,New Orleans,LA,Louisiana,7575963,0.036,4.5,5,0.212,0.185,0.085,0.003,0.033,34,59.8,2.9,5.5,5.9,8.9,46.4,197000,36.2,37488,26.2,23.7,2029.4,52.2,67.2
81,Missoula,MT,Montana,192559,6.216,3.25,6,1.364,0.308,0.795,4.944,1.272,91.2,0.5,1.8,3.5,2.9,4.7,47.6,241000,47.1,42389,19.3,15.7,2427.6,50,69.8
82,Henderson,NV,Nevada,1644734,7.201,5,21,1.157,0.7,0.151,1.088,6.113,78,5.6,7.2,15.8,12.5,17.8,61.6,237800,31.1,64277,9.2,23.3,2392.3,51,60.6
83,North Salt Lake,UT,Utah,38510,0.149,1.75,4,3.251,0.381,0.422,0.063,0.086,81.1,0.3,3.1,13.5,10.3,18.7,72.4,241100,42.8,71758,9.2,20.7,1916.4,48.9,62.4
84,Hoover,AL,Alabama,464277,6.58,3,14,2.748,0.778,0.088,0.579,6.001,73.2,17.2,5.1,5.9,8.7,11.9,68.1,268100,56,78056,6.1,23.5,1730.6,52.9,59.8
85,Wilmington,DE,Delaware,420760,6.124,2.5,6,1.406,0.4,0.067,0.41,5.714,33.8,57.7,1.4,12.2,6.1,12.3,45.9,162400,27,40065,26.1,21.8,6497.7,53.2,63.7
86,Baltimore,MD,Maryland,6567584,1.156,2.833,10,0.272,0.588,0.675,0.78,0.375,30.3,63,2.5,4.8,7.8,9.3,46.6,153000,29.7,44262,23.1,30.5,7671.5,53,66.6
87,Dover,NH,New Hampshire,138408,3.88,1.333,1,0.531,0.125,0.079,0.306,3.574,90.9,1.3,4.4,2.2,8,8.5,52,238100,42.6,63096,10.1,23.6,1122.4,51.5,66.2
88,Fullerton,CA,California,1081813,7.336,1.5,4,0.475,0.444,0.78,5.719,1.617,55.6,2.5,24.9,35.7,31.6,47.5,51.7,551300,39.5,67110,15.3,29.3,6046.7,50.7,65.5
89,San Bernardino,CA,California,1523584,0.802,3,14,1.075,0.778,0.545,0.437,0.365,55.9,14.2,5,63.3,23.3,50.5,46.7,176800,11.2,38456,32.3,27.3,3546,50.5,61.2
90,Columbia Falls,MT,Montana,7892,0.674,1,2,6.225,0.333,0.281,0.19,0.484,95.9,0,0.2,1.5,0.4,3,61.8,174400,22.3,47157,12.3,16.9,2289.1,51.6,60.8
91,Devils Lake,ND,North Dakota,34374,2.193,1,3,6.856,0.5,0.793,1.739,0.455,80.8,0.1,0.4,1.9,1,2.7,50.6,92800,18.2,40453,15,10.2,1097.9,50.2,59.7
92,Mandan,ND,North Dakota,24508,1.619,1.6,7,5.249,0.729,0.038,0.062,1.557,92,0.9,0.1,2.7,0.9,4.7,68.2,175400,27.7,60034,10.6,18.4,1662.2,48.6,63.3
93,Norman,OK,Oklahoma,881843,8.989,2.4,10,1.357,0.694,0.817,7.345,1.644,79.5,4.2,4.9,7.4,7,10.5,54.8,163900,42.1,52484,17.9,22.1,620.5,49.8,69.1
94,Medford,OR,Oregon,373951,2.103,2.333,5,1.019,0.357,0.385,0.809,1.294,89.4,0.7,1.5,14.6,7.4,12,51.6,213300,24.7,44130,21.4,15.5,2910.9,50.7,59.2
95,Providence,RI,Rhode Island,1846255,9.945,4.667,12,1.109,0.429,0.019,0.185,9.76,51.1,15.9,6.5,41.7,29.9,49.4,34,173800,29.4,37366,28.2,22.6,9676.2,51.6,68.2
96,West Jordan,UT,Utah,573363,1.472,2,8,1.171,0.667,0.019,0.028,1.444,85.6,1.4,2.5,18.1,9.7,16.7,75.4,228600,23.6,69503,7.9,23.9,3195.4,49.7,61
97,Rogers,AR,Arkansas,186549,2.5,1,1,0.251,0.167,0.149,0.373,2.127,89,1.3,2.8,32.4,18.3,23.5,58.7,153900,28.6,53638,13.4,16.3,1474.9,50.3,60.6
98,Des Moines,IA,Iowa,1502173,0.459,1.5,5,0.383,0.556,0.463,0.213,0.247,77.1,11,5.5,12.6,11.9,17.3,60.2,119800,25.2,48088,19,18.8,2515.6,50.8,63.7
99,Riverton,WY,Wyoming,18583,3.733,1,0,0,0,0.022,0.084,3.649,84.2,1.1,0.2,11.2,1.5,6.4,63.8,160300,18.3,50020,15.3,15.6,1077.1,48.7,61.5
100,Gulfport,MS,Mississippi,446048,1.522,6,16,3.713,0.444,0.291,0.443,1.079,58.2,36.5,1.4,6.2,4.2,6.3,49.9,116200,21.6,37037,25.5,21.4,1219.5,52.4,62.7
